zone,cr_min_tr,cr_miles_tr,cr_min_dr,cr_miles_dr
1A,29.06018519,4.144444444,16.06944444,6.708047226
1,31.96190476,7.35,22.26071429,11.6177328
2,33.575,11.22727273,22.6969697,15.51524325
3,35.36666667,14.57777778,27.44444444,18.84929512
4,44.85208333,18.70625,34.328125,23.32775031
5,49.96410256,22,37.68717949,26.74037467
6,57.88717949,26.50769231,41.19230769,32.79133514
7,65.45166667,31.86,45.60166667,37.32328203
8,78.65897436,40.53076923,52.48461538,44.10688693
9,107.5333333,51.9,66.73333333,59.09488587
10,114.3833333,62.9,77.1,69.47427026
