"","minutes","miles","uqlatlongid"
"1",19.95,8.190291151,"42.106726+-71.022045+42.207743+-71.00107"
"2",39.0833333333333,24.984085168,"42.106726+-71.022045+42.362434+-71.085591"
"3",7.23333333333333,2.663817477,"42.172757+-71.010776+42.207009+-71.004163"
"4",8.36666666666667,3.104990887,"42.172757+-71.010776+42.207743+-71.00107"
"5",17.3,6.970539878,"42.172757+-71.010776+42.251809+-71.005409"
"6",17.2,6.959976571,"42.172757+-71.010776+42.251847+-71.005168"
"7",16.75,6.705214461,"42.175883+-71.013386+42.251847+-71.005168"
"8",23.7,8.754496019,"42.175883+-71.013386+42.275783+-71.030184"
"9",22.4,10.123376332,"42.178209+-71.014478+42.294907+-71.056242"
"10",34.9833333333333,13.370661178,"42.181375+-71.013639+42.300523+-71.113686"
"11",19.65,7.111591095,"42.184948+-71.054721+42.284195+-71.063879"
"12",37.4666666666667,17.889892461,"42.184948+-71.054721+42.373362+-71.118956"
"13",10.9333333333333,4.05133892,"42.187006+-70.955457+42.237963+-70.944602"
"14",19.0333333333333,6.8972181,"42.187707+-71.056582+42.284195+-71.063879"
"15",18.7833333333333,6.764244706,"42.189438+-71.057732+42.284195+-71.063879"
"16",12.05,4.531037332,"42.189722+-70.952463+42.242902+-70.950907"
"17",11.4833333333333,4.296159094,"42.189722+-70.952463+42.243572+-70.946418"
"18",33.05,15.990982685,"42.190404+-71.058382+42.374262+-71.030395"
"19",30.0333333333333,15.771017351,"42.190404+-71.058382+42.374693+-71.029333"
"20",18.1833333333333,6.607659214,"42.191457+-71.059112+42.284195+-71.063879"
"21",32.8,15.987254459,"42.191457+-71.059112+42.362434+-71.085591"
"22",36,17.386581951,"42.191457+-71.059112+42.373362+-71.118956"
"23",23.3166666666667,11.199590904,"42.192747+-71.059709+42.330154+-71.057655"
"24",32.2833333333333,15.892184696,"42.192747+-71.059709+42.362434+-71.085591"
"25",35.4833333333333,17.291512188,"42.192747+-71.059709+42.373362+-71.118956"
