"","idcompany","companyname","mode","trip_count","minutes","miles","trip_emissions"
"1",1025,"Company E","bus",1327,17135.0344202899,2726.94351933965,643.285976212223
"2",1025,"Company E","subway",1959,25275.9090517241,7053.76205120599,1648.46419136684
"3",1110,"Company F","bus",859,13737.9919642857,1840.65792023252,434.211203382851
"4",1110,"Company F","subway",1880,23729.1206462585,5449.80964600959,1273.62051427244
"5",1136,"Company N","bus",385,6604.79582608696,1463.77186787784,345.303783632384
"6",1136,"Company N","subway",1027,16350.1224922118,4194.17153990627,980.177888876095
"7",1709,"Company B","bus",287,3681.59701946472,530.828967912591,125.22255353058
"8",1709,"Company B","subway",870,10663.1555555556,3231.47066726338,755.194694939453
"9",1762,"Company L","bus",433,5808.0405982906,1178.87911905502,278.097584185079
"10",1762,"Company L","subway",1590,22238.4004037685,6383.2237386986,1491.75938773386
"11",1783,"Company M","bus",316,89766548.9825396,574.694754591683,135.570492608178
"12",1783,"Company M","subway",1066,12252.4151273885,3224.74532735376,753.622983002574
"13",1801,"Company K","bus",466,6288.08100929615,906.641497756872,213.876729320846
"14",1801,"Company K","subway",797,12925.9872494432,2900.24923106959,677.788245300962
"15",1840,"Company I","bus",102,1084.72592592593,150.995196620178,35.6197668826999
"16",1840,"Company I","subway",516,5787.56840019812,1656.25230361613,387.06616335509
"17",1858,"Company J","bus",254,4239.70461538462,769.286053137969,181.474579935247
"18",1858,"Company J","subway",1131,15028.0179723502,3602.06048841731,841.801536143126
"19",1904,"Company A","bus",172,2978.72819148936,637.757495241995,150.446993127587
"20",1904,"Company A","subway",596,9335.18623435722,2662.93493507375,622.327894326735
"21",1968,"Company H","bus",905,12497.8467153285,2055.84668278161,484.974232468181
"22",1968,"Company H","subway",734,11532.767379386,2900.81463201166,677.920379501126
"23",2456,"Company O","bus",735,10593.0170501475,1402.54360381769,330.860036140593
"24",2456,"Company O","subway",946,13592.1185185185,3167.87197521067,740.331680606733
"25",3171,"Company D","bus",388,5560.60246406571,822.765261985355,194.090325302345
"26",3171,"Company D","subway",1376,15745.5548472776,4083.55282591775,954.326295416978
"27",3199,"Company C","bus",315,4966.89809885931,715.025159368004,168.674435094912
"28",3199,"Company C","subway",1293,15963.302126556,4063.76134711643,949.701026821109
"29",3480,"Company G","bus",369,4516.36113902848,774.232874761789,182.641535156306
"30",3480,"Company G","subway",1496,20122.9675339694,5453.73856291768,1274.53870215386
"31",3574,"Company Q","bus",495,8169.68102189781,1083.5766254991,255.615725955238
"32",3574,"Company Q","subway",1905,23607.1329558858,4501.24858110646,1051.94179340458
"33",11078,"Company P","bus",239,3146.22892156863,457.817653114826,107.999184369787
"34",11078,"Company P","subway",1146,16138.287867911,4225.45256974251,987.488265548825
"35",1025,"Company E","commrail",1596,67169.10100902,25492.130595468,9778.78129642152
"36",1110,"Company F","commrail",2660,103593.23142352,34986.767634948,13420.9240647661
"37",1136,"Company N","commrail",4256,180832.1245258,70804.420405448,27160.5756675299
"38",1709,"Company B","commrail",4370,223117.01896276,97524.18399632,37410.2769809883
"39",1762,"Company L","commrail",4142,173143.71912028,65292.528302684,25046.2138569096
"40",1783,"Company M","commrail",5244,262268.58650552,114744.552983204,44016.0105243571
"41",1801,"Company K","commrail",3838,193281.71940486,83589.11501134,32064.78451835
"42",1840,"Company I","commrail",1672,74519.0613172,30114.517915508,11551.9290723889
"43",1858,"Company J","commrail",5054,230076.06489118,95633.715998248,36685.0934569279
"44",1904,"Company A","commrail",2584,114502.5552782,46310.511166716,17764.7120835523
"45",1968,"Company H","commrail",228,9544.47136808,3402.591452996,1305.23408136927
"46",2456,"Company O","commrail",3192,139695.61210376,55300.784606416,21213.3809750212
"47",3171,"Company D","commrail",3192,144750.79102184,60078.57232902,23046.1403454121
"48",3199,"Company C","commrail",3154,170790.54978322,76824.094073852,29469.7224867296
"49",3480,"Company G","commrail",2318,98213.85234194,37911.97925442,14543.0352419955
"50",3574,"Company Q","commrail",114,3312.86111166,472.466666616,181.238213313898
"51",11078,"Company P","commrail",3458,185079.30864588,83268.360872064,31941.7432305237
"52",1025,"Company E","car",4315,88867.6209956035,43465.5760847871,37849.8236546326
"53",1110,"Company F","car",5185,104620.673082271,54333.68152155,47313.7698689657
"54",1136,"Company N","car",5536,149337.023988562,96812.3806288782,84304.2210516271
"55",1709,"Company B","car",5501,177623.791885716,123844.951489337,107844.183756915
"56",1762,"Company L","car",5843,147757.421467996,92081.8116127233,80184.8415523595
"57",1783,"Company M","car",6452,205224.555748312,144756.945608784,126054.348236129
"58",1801,"Company K","car",5003,151580.183930926,105820.342543033,92148.3542864731
"59",1840,"Company I","car",2243,61697.8999277235,39956.8760652478,34794.4476776177
"60",1858,"Company J","car",6106,179706.578343574,123956.013549703,107940.896599081
"61",1904,"Company A","car",3566,99325.630698949,64120.0363995881,55835.7276967613
"62",1968,"Company H","car",1401,23340.4821795838,8852.1271909624,7708.43235789005
"63",2456,"Company O","car",4709,119910.549404941,74821.247786349,65154.3425723527
"64",3171,"Company D","car",4669,123997.279769824,80374.5222490161,69990.1339744432
"65",3199,"Company C","car",4609,143423.871864342,97540.5848518469,84938.3412889883
"66",3480,"Company G","car",4197,101106.006082512,56733.4515213469,49403.4895847889
"67",3574,"Company Q","car",2198,27475.0633834504,6733.59114826925,5863.61117191286
"68",11078,"Company P","car",4822,154282.700062443,106603.566728354,92830.3859070505
