"","minutes","miles","uqlatlongid"
"1",13.7666666666667,7.783293146,"42.106726+-71.022045+42.207743+-71.00107"
"2",5.31666666666667,2.561912633,"42.172757+-71.010776+42.207009+-71.004163"
"3",6.35,2.854578374,"42.172757+-71.010776+42.207743+-71.00107"
"4",21.0166666666667,7.118426176,"42.172757+-71.010776+42.251847+-71.005168"
"5",20.4833333333333,6.863042695,"42.175883+-71.013386+42.251847+-71.005168"
"6",20.2,6.692787041,"42.178209+-71.014478+42.251847+-71.005168"
"7",5.08333333333333,2.194682372,"42.181375+-71.013639+42.207743+-71.00107"
"8",25.25,7.740418547,"42.184948+-71.054721+42.284195+-71.063879"
"9",20.7833333333333,6.41254872,"42.187006+-70.955457+42.251696+-71.004973"
"10",20.9666666666667,7.522317326,"42.187707+-71.056582+42.284195+-71.063879"
"11",20.9666666666667,7.389343932,"42.189438+-71.057732+42.284195+-71.063879"
"12",20.0333333333333,6.109319672,"42.189722+-70.952463+42.251696+-71.004973"
"13",19.9666666666667,7.314158041,"42.190404+-71.058382+42.284195+-71.063879"
"14",20.85,7.234622553,"42.191457+-71.059112+42.284195+-71.063879"
"15",18.9666666666667,7.138310048,"42.192747+-71.059709+42.284195+-71.063879"
"16",13.4833333333333,1.34837507,"42.195516+-71.005134+42.207743+-71.00107"
"17",6.4,0.992950858,"42.200666+-71.005039+42.207743+-71.00107"
"18",7.4,0.342996792,"42.203362+-70.998511+42.202279+-71.004953"
"19",20.8333333333333,3.778557051,"42.207009+-71.004163+42.251847+-71.005168"
"20",5.93333333333333,1.957940021,"42.207481+-71.00164+42.233391+-71.007153"
"21",9.56666666666667,3.255362669,"42.207481+-71.00164+42.251809+-71.005409"
"22",22.7833333333333,8.914809737,"42.207481+-71.00164+42.320563+-71.052251"
"23",26.2,9.710785988,"42.207481+-71.00164+42.330154+-71.057655"
"24",30.95,11.376681639,"42.207481+-71.00164+42.352271+-71.055242"
"25",32.85,11.705386898,"42.207481+-71.00164+42.355518+-71.060225"
"26",34.5666666666667,11.820340533,"42.207481+-71.00164+42.35639457+-71.0624242"
"27",41.2333333333333,12.444818388,"42.207481+-71.00164+42.361269+-71.071678"
"28",39.5833333333333,13.127705117,"42.207481+-71.00164+42.362434+-71.085591"
"29",41.4,14.099529361,"42.207481+-71.00164+42.365379+-71.103554"
"30",45.0666666666667,15.073217718,"42.207481+-71.00164+42.373362+-71.118956"
"31",49.95,16.773910145,"42.207481+-71.00164+42.39674+-71.121815"
"32",22.7166666666667,8.149280665,"42.207743+-71.00107+42.106726+-71.022045"
"33",11.8666666666667,3.477813487,"42.207743+-71.00107+42.168243+-71.006992"
"34",10.3166666666667,3.317499769,"42.207743+-71.00107+42.170188+-71.008608"
"35",9.96666666666667,3.126117501,"42.207743+-71.00107+42.172496+-71.010689"
"36",8.56666666666667,2.570611827,"42.207743+-71.00107+42.179804+-71.014772"
"37",12.8333333333333,1.199867401,"42.207743+-71.00107+42.195716+-71.005277"
"38",6.23333333333333,0.85127827,"42.207743+-71.00107+42.203754+-71.005144"
"39",13.0166666666667,0.625099226,"42.207743+-71.00107+42.206072+-71.004532"
"40",4,0.832015769,"42.207743+-71.00107+42.212779+-71.004498"
"41",19.9166666666667,3.429346549,"42.207743+-71.00107+42.214859+-71.004456"
"42",4.68333333333333,1.664031538,"42.208469+-70.957953+42.190805+-70.951359"
"43",12.7833333333333,0.641876243,"42.209933+-71.003667+42.207743+-71.00107"
"44",4.11666666666667,0.625099226,"42.212953+-71.004648+42.207743+-71.00107"
"45",4.46666666666667,0.77050004,"42.215052+-71.004547+42.207743+-71.00107"
"46",16.2,5.196525673,"42.217651+-70.936794+42.251908+-71.0052"
"47",25.2833333333333,3.074543708,"42.217701+-71.00306+42.251847+-71.005168"
"48",6.83333333333333,0.339889937,"42.219946+-71.027761+42.220488+-71.023648"
"49",2.96666666666667,0.80156859,"42.220488+-71.023648+42.225927+-71.031761"
"50",7.4,1.49750411,"42.226141+-71.032004+42.220488+-71.023648"
"51",9.66666666666667,2.090292044,"42.22958+-71.030926+42.233238+-71.007244"
"52",9.3,1.924385987,"42.23187+-71.029931+42.233238+-71.007244"
"53",4,1.679565813,"42.23187+-71.029931+42.233844+-71.010995"
"54",12.3333333333333,2.079728737,"42.231897+-71.005637+42.251847+-71.005168"
"55",9.86666666666667,2.034990025,"42.232065+-71.005795+42.207743+-71.00107"
"56",26,6.542415259,"42.233122+-71.183972+42.291606+-71.122523"
"57",31.6,7.325342719,"42.233122+-71.183972+42.300749+-71.114314"
"58",16.5333333333333,2.079107366,"42.233238+-71.007244+42.229778+-71.030998"
"59",6.51666666666667,0.308821387,"42.233238+-71.007244+42.234648+-71.011635"
"60",12.2666666666667,1.389385556,"42.233238+-71.007244+42.238421+-71.025546"
"61",2.73333333333333,1.333462166,"42.233391+-71.007153+42.251809+-71.005409"
"62",15.95,6.992909234,"42.233391+-71.007153+42.320563+-71.052251"
"63",19.3333333333333,7.788885485,"42.233391+-71.007153+42.330154+-71.057655"
"64",21.5833333333333,8.617173028,"42.233391+-71.007153+42.342622+-71.056967"
"65",24.2,9.454781136,"42.233391+-71.007153+42.352271+-71.055242"
"66",26.1,9.783486395,"42.233391+-71.007153+42.355518+-71.060225"
"67",27.7333333333333,9.89844003,"42.233391+-71.007153+42.35639457+-71.0624242"
"68",34.3166666666667,10.522917885,"42.233391+-71.007153+42.361269+-71.071678"
"69",32.6666666666667,11.205804614,"42.233391+-71.007153+42.362434+-71.085591"
"70",34.5666666666667,12.177628858,"42.233391+-71.007153+42.365379+-71.103554"
"71",38.2333333333333,13.151317215,"42.233391+-71.007153+42.373362+-71.118956"
"72",41.4,14.218832593,"42.233391+-71.007153+42.3884+-71.119149"
"73",42.9833333333333,14.852009642,"42.233391+-71.007153+42.39674+-71.121815"
"74",5.3,0.244820174,"42.233844+-71.010995+42.233238+-71.007244"
"75",17.5833333333333,1.905123486,"42.234422+-70.999344+42.251696+-71.004973"
"76",13.25,1.600030325,"42.234422+-70.999344+42.252035+-71.00588"
"77",6.86666666666667,0.321248807,"42.234737+-71.011882+42.233238+-71.007244"
